Latitude,Longitude,O3_Total,CO_Total,CH4_Total
-15.349150814488073,-48.470419710951596,267.3737,1.6372396e+18,3.6403152e+19
-15.233880816049037,-47.51391375240437,265.43814,1.514873e+18,3.6354626e+19
-15.131617160749684,-46.69790437549684,268.87347,1.7083727e+18,3.651601e+19
-15.04012487665116,-45.9918972032407,268.29572,1.45167e+18,3.6443214e+19
-14.956576564753057,-45.36546822960286,268.03445,1.4367078e+18,3.6800443e+19
-14.879285865044874,-44.8004701648171,263.51108,1.4474162e+18,3.6656062e+19
-14.806965858706153,-44.28364850953009,270.37784,1.4952301e+18,3.6707552e+19
-14.738603977780306,-43.80498894113785,275.69058,1.5393585e+18,3.7999355e+19
-14.673382810811695,-43.356696787836185,269.16965,1.5344318e+18,3.72033e+19
-14.610613739474667,-42.932549451702684,265.7115,1.4176856e+18,3.7278533e+19
-14.549439412038362,-42.525353542374845,267.061,1.3381547e+18,3.691845e+19
-14.490211814909529,-42.13701537506572,263.6958,1.4161212e+18,3.6322279e+19
-14.43159916178208,-41.75757706661751,270.4882,1.3781409e+18,3.70206e+19
-14.373464166445277,-41.385776886787426,267.98987,1.4809256e+18,3.731856e+19
-14.31539519685541,-41.01854963170178,278.33673,1.5500765e+18,3.7668987e+19
-14.256695912886967,-40.651075775593526,268.58173,1.4572116e+18,3.7800053e+19
-14.198094178618813,-40.288155214526,259.64105,1.4576543e+18,3.7397544e+19
-14.137417321061593,-39.91539601205401,275.99036,1.5495368e+18,3.7569032e+19
-14.075335432326796,-39.53744161898394,283.94687,1.6205964e+18,3.921714e+19
-14.010694760229384,-39.14702178400581,277.50754,1.7170118e+18,3.9584063e+19
-13.94383028922965,-38.74665052687181,282.08844,1.6912669e+18,4.031789e+19
-13.873039109037947,-38.32592759204624,282.78152,1.6730819e+18,3.8687434e+19
-13.797357952067886,-37.87954805229279,288.24188,1.8194305e+18,3.879568e+19
-13.716827476718073,-37.40863299368343,281.99753,1.665243e+18,4.050765e+19
-13.628874584934541,-36.898472079556555,284.19705,1.6847554e+18,3.9470893e+19
-13.53203384431058,-36.34179858331478,280.81488,1.6894679e+18,3.9147e+19
-13.42381520380346,-35.72587304522498,282.31552,1.6602411e+18,4.0100715e+19
-13.300767090747271,-35.03331037433346,275.82327,1.6458436e+18,4.0454696e+19
-13.157885606727113,-34.239433103753626,282.16537,1.674317e+18,4.0627817e+19
-12.987571757636642,-33.30742649437369,273.77997,1.7317146e+18,4.0457828e+19
-14.866901295673184,-48.5604496381771,268.9135,1.7241825e+18,3.6802605e+19
-14.750394788876244,-47.601899759136735,266.09628,1.4499827e+18,3.6055166e+19
-14.648189971123163,-46.79255141649896,272.6064,1.5405939e+18,3.7307186e+19
-14.55635658474949,-46.08834036084895,270.82593,1.4970812e+18,3.6927533e+19
-14.472569086666233,-45.463484033347534,267.16412,1.4012604e+18,3.675523e+19
-14.395112519884014,-44.899887574324254,275.03528,1.4214081e+18,3.7093476e+19
-14.322680300766178,-44.38433430639956,273.02692,1.4796254e+18,3.7766166e+19
-14.254250970097532,-43.90683636544927,266.64252,1.4673612e+18,3.7796293e+19
-14.188993529430673,-43.45962076443028,269.87793,1.5578832e+18,3.7639023e+19
-14.125920048702385,-43.03432718166629,270.88644,1.3897103e+18,3.7782734e+19
-14.065066370152177,-42.63024544876215,269.494,1.2884125e+18,3.7088313e+19
-14.005881250904954,-42.24281410550153,270.88336,1.427047e+18,3.6779405e+19
-13.947331859933975,-41.864254009909004,268.40054,1.3865967e+18,3.7642445e+19
-13.889280630716847,-41.49330656970526,268.8233,1.383363e+18,3.6789699e+19
-13.831311993032996,-41.12691470677266,289.1036,1.5415947e+18,3.7624655e+19
-13.772735128508192,-40.76026893063997,277.26868,1.3764495e+18,3.824011e+19
-13.714276015686634,-40.39815832745244,268.8457,1.432574e+18,3.782686e+19
-13.653762387686948,-40.02622422104782,276.15552,1.4688849e+18,3.7393546e+19
-13.591870065255444,-39.649097751216594,288.61304,1.6888063e+18,3.810766e+19
-13.527767186445821,-39.26158116675853,281.01508,1.6372494e+18,3.935803e+19
-13.460829776398636,-38.86001285920399,282.69528,1.6932989e+18,3.960863e+19
-13.390322678670822,-38.440183444403935,274.72516,1.6268454e+18,4.003049e+19
-13.314973831489997,-37.99474180455886,274.58408,1.6015944e+18,4.060979e+19
-13.234410206324103,-37.522251899105804,269.19952,1.6899553e+18,4.050907e+19
-13.147323647350955,-37.015692116508035,270.9067,1.5961045e+18,4.0586554e+19
-13.051524956998428,-36.463184215617865,290.02698,1.6787697e+18,3.952632e+19
-12.943448447918838,-35.84544460729579,276.88425,1.6459263e+18,4.0553666e+19
-12.820531347958845,-35.15039114535239,279.82663,1.6876022e+18,4.0905558e+19
-12.679313925368975,-34.36187706600563,289.74612,1.6985378e+18,3.9971874e+19
-12.510294450873035,-33.431610380433725,284.21243,1.8438601e+18,4.0911988e+19
-14.384045630170123,-48.64534762138436,271.5693,1.9544115e+18,3.745721e+19
-14.26747110301761,-47.69466883942458,268.7828,1.5242744e+18,3.6053474e+19
-14.164783846012783,-46.887349931603936,270.98987,1.8268053e+18,3.782998e+19
-14.072607858854031,-46.184878158679325,272.26624,1.5982509e+18,3.652675e+19
-13.988576797850477,-45.561544376282676,268.144,1.4607313e+18,3.6996737e+19
-13.910951986016226,-44.999303824894874,269.15878,1.4258167e+18,3.6981066e+19
-13.838406355707784,-44.48497680320693,273.66028,1.454951e+18,3.709954e+19
-13.769906471676585,-44.00860241591376,266.86752,1.5690394e+18,3.729133e+19
-13.704614847780373,-43.562427917865264,273.6446,1.4836502e+18,3.791874e+19
-13.641836713626367,-43.14026439395173,272.07318,1.4383395e+18,3.7643685e+19
-13.580994726348045,-42.737018474393714,264.62625,1.3264721e+18,3.6104646e+19
-13.521560363716684,-42.3484003018118,273.77982,1.3463087e+18,3.6772434e+19
-13.46307395348157,-41.970688554733194,265.52582,1.350954e+18,3.5734587e+19
-13.405104251547142,-41.60056503139955,278.46887,1.4928468e+18,3.5938369e+19
-13.34723896597427,-41.23497897361479,276.87848,1.3894376e+18,3.6865402e+19
-13.289067034004754,-40.871033505217575,268.9471,1.420669e+18,3.735105e+19
-13.23017430974504,-40.50588996603066,277.9558,1.350961e+18,3.730205e+19
-13.170114608314343,-40.136665915752374,268.79266,1.5173971e+18,3.6680286e+19
-13.108408536478986,-39.760338801667785,274.9341,1.4875342e+18,3.7944868e+19
-13.044519091362318,-39.373635383245976,269.9183,1.3961245e+18,3.874332e+19
-12.977827342120936,-38.972900738794436,282.56586,1.5828289e+18,4.03066e+19
-12.907604502093813,-38.55393294023554,284.74405,1.5814687e+18,4.0142127e+19
-12.832961096348557,-38.11177419214806,275.3703,1.5990356e+18,4.041812e+19
-12.75280829219509,-37.64040026315055,274.447,1.6451764e+18,4.0793262e+19
-12.665750771207243,-37.13229160540194,277.4079,1.6340344e+18,4.0383364e+19
-12.569975448652574,-36.57782456532355,273.1791,1.556128e+18,4.051068e+19
-12.463044070577558,-35.96430023605725,282.32156,1.773033e+18,4.044198e+19
-12.340917172748965,-35.27055119466511,283.42987,1.7498855e+18,4.1199893e+19
-12.200683506110495,-34.48348486205443,282.3997,1.7604808e+18,4.0500674e+19
-12.032944049233059,-33.55488295984077,292.74832,1.987707e+18,4.1295097e+19
-13.901772912403676,-48.73604931635533,273.8142,1.9687967e+18,3.742027e+19
-13.785044121785537,-47.79225049049797,267.91232,1.7420962e+18,3.703559e+19
-13.681311635384528,-46.98235848838483,270.78403,1.5051727e+18,3.7770736e+19
-13.588785575610553,-46.28156454864752,268.15814,1.4205121e+18,3.6992224e+19
-13.50450387864433,-45.65969929423897,266.44995,1.4125364e+18,3.6783508e+19
-13.426329798258326,-45.095976236345784,267.2401,1.4526016e+18,3.687691e+19
-13.354031783544613,-44.58562306854539,270.4394,1.4703269e+18,3.724729e+19
-13.285455946311385,-44.11033210509673,273.73193,1.5397308e+18,3.7560346e+19
-13.220122743923053,-43.66516267439439,282.53076,1.4713468e+18,3.825861e+19
-13.15733141046845,-43.243940781614015,271.89163,1.4223959e+18,3.7570607e+19
-13.096502265718454,-42.841585372873006,271.8564,1.31418e+18,3.7020983e+19
